"keyword","period","searchVolume"
"루이비통 쿠사마 야요이","2024-05-02","10"
"루이비통 쿠사마 야요이","2024-05-03","30"
"루이비통 쿠사마 야요이","2024-05-04","30"
"루이비통 쿠사마 야요이","2024-05-05","30"
"루이비통 쿠사마 야요이","2024-05-06","30"
"루이비통 쿠사마 야요이","2024-05-07","10"
"루이비통 쿠사마 야요이","2024-05-08","20"
"루이비통 쿠사마 야요이","2024-05-09","20"
"루이비통 쿠사마 야요이","2024-05-10","20"
"루이비통 쿠사마 야요이","2024-05-11","20"
"루이비통 쿠사마 야요이","2024-05-12","20"
"루이비통 쿠사마 야요이","2024-05-13","30"
"루이비통 쿠사마 야요이","2024-05-14","20"
"루이비통 쿠사마 야요이","2024-05-15","20"
"루이비통 쿠사마 야요이","2024-05-16","20"
"루이비통 쿠사마 야요이","2024-05-17","20"
